,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,0.9786008230452675,0.9207266721717589,0.9326513213981245,0.9783513738551207,0.9527083333333334,0.9525825476175679,0.9525825476175679
recall,0.9908333333333333,0.9291666666666667,0.9116666666666666,0.9791666666666666,0.9527083333333334,0.9527083333333333,0.9527083333333334
f1-score,0.9846790890269151,0.9249274160099543,0.922039612305099,0.978758850478967,0.9527083333333334,0.9526012419552339,0.952601241955234
support,1200.0,1200.0,1200.0,1200.0,0.9527083333333334,4800.0,4800.0
