,0_normal_MULTISCALE,1_ulcerative_colitis_MULTISCALE,2_polyps_MULTISCALE,3_esophagitis_MULTISCALE,accuracy,macro avg,weighted avg,modelName,modelTag
precision,1,0.794871795,0.823943662,0.986842105,0.901666667,0.901414391,0.901414391,01_BaseModel1_MULTISCALE,1
recall,1,0.826666667,0.78,1,0.901666667,0.901666667,0.901666667,01_BaseModel1_MULTISCALE,1
f1-score,1,0.810457516,0.801369863,0.993377483,0.901666667,0.901301216,0.901301216,01_BaseModel1_MULTISCALE,1
support,150,150,150,150,0.901666667,600,600,01_BaseModel1_MULTISCALE,1
