,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg,modelName,modelTag
precision,0.91875,0.847826087,0.820512821,0.945205479,0.883333333,0.883073597,0.883073597,11A_TransferLearningFineTuning_MobileNetV1_NORMAL,11A
recall,0.98,0.78,0.853333333,0.92,0.883333333,0.883333333,0.883333333,11A_TransferLearningFineTuning_MobileNetV1_NORMAL,11A
f1-score,0.948387097,0.8125,0.836601307,0.932432432,0.883333333,0.882480209,0.882480209,11A_TransferLearningFineTuning_MobileNetV1_NORMAL,11A
support,150,150,150,150,0.883333333,600,600,11A_TransferLearningFineTuning_MobileNetV1_NORMAL,11A
