,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg,modelName,modelTag
precision,0.974025974,0.986013986,0.966442953,0.974025974,0.975,0.975127222,0.975127222,10_TransferLearningFineTuning_MobileNetV2_NORMAL_tunedAdam,10
recall,1,0.94,0.96,1,0.975,0.975,0.975,10_TransferLearningFineTuning_MobileNetV2_NORMAL_tunedAdam,10
f1-score,0.986842105,0.962457338,0.963210702,0.986842105,0.975,0.974838063,0.974838063,10_TransferLearningFineTuning_MobileNetV2_NORMAL_tunedAdam,10
support,150,150,150,150,0.975,600,600,10_TransferLearningFineTuning_MobileNetV2_NORMAL_tunedAdam,10
