,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg,modelName,modelTag
precision,1,0.961290323,0.993006993,0.986842105,0.985,0.985284855,0.985284855,08_TransferLearningFineTuning_ResNet50V2_NORMAL,8
recall,1,0.993333333,0.946666667,1,0.985,0.985,0.985,08_TransferLearningFineTuning_ResNet50V2_NORMAL,8
f1-score,1,0.97704918,0.969283276,0.993377483,0.985,0.984927485,0.984927485,08_TransferLearningFineTuning_ResNet50V2_NORMAL,8
support,150,150,150,150,0.985,600,600,08_TransferLearningFineTuning_ResNet50V2_NORMAL,8
