,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg,modelName,modelTag
precision,1,0.961290323,0.993103448,1,0.988333333,0.988598443,0.988598443,09_TransferLearningFineTuning_MobileNetV1_NORMAL_tunedAdam,9
recall,1,0.993333333,0.96,1,0.988333333,0.988333333,0.988333333,09_TransferLearningFineTuning_MobileNetV1_NORMAL_tunedAdam,9
f1-score,1,0.97704918,0.976271186,1,0.988333333,0.988330092,0.988330092,09_TransferLearningFineTuning_MobileNetV1_NORMAL_tunedAdam,9
support,150,150,150,150,0.988333333,600,600,09_TransferLearningFineTuning_MobileNetV1_NORMAL_tunedAdam,9
