,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,1.0,0.9966216216216216,0.9832775919732442,0.9836065573770492,0.9908333333333333,0.9908764427429788,0.9908764427429787
recall,1.0,0.9833333333333333,0.98,1.0,0.9908333333333333,0.9908333333333333,0.9908333333333333
f1-score,1.0,0.9899328859060402,0.9816360601001669,0.9917355371900827,0.9908333333333333,0.9908261207990725,0.9908261207990724
support,300.0,300.0,300.0,300.0,0.9908333333333333,1200.0,1200.0
