,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,0.9188311688311688,0.8901960784313725,0.8237179487179487,0.8738461538461538,0.8758333333333334,0.876647837456661,0.876647837456661
recall,0.9433333333333334,0.7566666666666667,0.8566666666666667,0.9466666666666667,0.8758333333333334,0.8758333333333334,0.8758333333333334
f1-score,0.930921052631579,0.818018018018018,0.8398692810457516,0.9088,0.8758333333333334,0.8744020879238372,0.8744020879238371
support,300.0,300.0,300.0,300.0,0.8758333333333334,1200.0,1200.0
