,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,0.9933774834437086,0.8221626452189454,0.7926530612244898,0.9607371794871795,0.89375,0.8922325923435808,0.8922325923435809
recall,1.0,0.7666666666666667,0.8091666666666667,0.9991666666666666,0.89375,0.8937499999999999,0.89375
f1-score,0.9966777408637874,0.7934454506252696,0.8008247422680412,0.9795751633986928,0.89375,0.8926307742889478,0.8926307742889477
support,1200.0,1200.0,1200.0,1200.0,0.89375,4800.0,4800.0
