,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,1.0,0.8364197530864198,0.9073359073359073,0.943217665615142,0.9208333333333333,0.9217433315093672,0.9217433315093672
recall,1.0,0.9033333333333333,0.7833333333333333,0.9966666666666667,0.9208333333333333,0.9208333333333333,0.9208333333333333
f1-score,1.0,0.8685897435897437,0.8407871198568873,0.9692058346839546,0.9208333333333333,0.9196456745326463,0.9196456745326463
support,300.0,300.0,300.0,300.0,0.9208333333333333,1200.0,1200.0
