,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,0.8735294117647059,0.6825396825396826,0.7717171717171717,0.9511278195488722,0.8145833333333333,0.819728521392608,0.819728521392608
recall,0.99,0.7883333333333333,0.6366666666666667,0.8433333333333334,0.8145833333333333,0.8145833333333333,0.8145833333333333
f1-score,0.928125,0.7316318638824438,0.6977168949771689,0.8939929328621907,0.8145833333333333,0.8128666729304508,0.8128666729304509
support,600.0,600.0,600.0,600.0,0.8145833333333333,2400.0,2400.0
