,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,0.9802631578947368,0.914572864321608,0.9284497444633731,0.96875,0.9483333333333334,0.9480089416699296,0.9480089416699293
recall,0.9933333333333333,0.91,0.9083333333333333,0.9816666666666667,0.9483333333333334,0.9483333333333333,0.9483333333333334
f1-score,0.9867549668874172,0.912280701754386,0.9182813816343723,0.9751655629139073,0.9483333333333334,0.9481206532975208,0.9481206532975206
support,600.0,600.0,600.0,600.0,0.9483333333333334,2400.0,2400.0
