,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,0.9841269841269841,0.4348547717842324,0.8771929824561403,0.7306064880112835,0.6258333333333334,0.75669530659466,0.75669530659466
recall,0.5166666666666667,0.8733333333333333,0.25,0.8633333333333333,0.6258333333333334,0.6258333333333334,0.6258333333333334
f1-score,0.6775956284153006,0.5806094182825484,0.3891050583657587,0.7914438502673796,0.6258333333333334,0.6096884888327468,0.6096884888327468
support,600.0,600.0,600.0,600.0,0.6258333333333334,2400.0,2400.0
