,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,0.9851973684210527,0.8010471204188482,0.7834710743801653,0.9625407166123778,0.8845833333333334,0.8830640699581109,0.8830640699581109
recall,0.9983333333333333,0.765,0.79,0.985,0.8845833333333334,0.8845833333333333,0.8845833333333334
f1-score,0.9917218543046358,0.7826086956521738,0.7867219917012449,0.973640856672158,0.8845833333333334,0.8836733495825532,0.8836733495825532
support,600.0,600.0,600.0,600.0,0.8845833333333334,2400.0,2400.0
