,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,0.9392,0.8472668810289389,0.902135231316726,0.961082910321489,0.9120833333333334,0.9124212556667886,0.9124212556667886
recall,0.9783333333333334,0.8783333333333333,0.845,0.9466666666666667,0.9120833333333334,0.9120833333333334,0.9120833333333334
f1-score,0.9583673469387755,0.862520458265139,0.8726333907056799,0.9538203190596138,0.9120833333333334,0.911835378742302,0.9118353787423022
support,600.0,600.0,600.0,600.0,0.9120833333333334,2400.0,2400.0
