,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,0.9482071713147411,0.8802698145025295,0.8776371308016878,0.9710391822827938,0.9195833333333333,0.9192883247254381,0.9192883247254381
recall,0.9916666666666667,0.87,0.8666666666666667,0.95,0.9195833333333333,0.9195833333333334,0.9195833333333333
f1-score,0.969450101832994,0.8751047778709137,0.8721174004192873,0.9604043807919124,0.9195833333333333,0.9192691652287768,0.9192691652287768
support,1200.0,1200.0,1200.0,1200.0,0.9195833333333333,4800.0,4800.0
