,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,0.9107692307692308,0.8301282051282052,0.8651685393258427,0.9358108108108109,0.8858333333333334,0.8854691965085224,0.8854691965085224
recall,0.9866666666666667,0.8633333333333333,0.77,0.9233333333333333,0.8858333333333334,0.8858333333333334,0.8858333333333334
f1-score,0.9472,0.8464052287581699,0.8148148148148148,0.9295302013422819,0.8858333333333334,0.8844875612288168,0.8844875612288168
support,300.0,300.0,300.0,300.0,0.8858333333333334,1200.0,1200.0
