,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,0.851063829787234,0.8421052631578947,0.7955974842767296,0.9094076655052264,0.8483333333333334,0.8495435606817712,0.8495435606817713
recall,0.9333333333333333,0.7466666666666667,0.8433333333333334,0.87,0.8483333333333334,0.8483333333333334,0.8483333333333334
f1-score,0.890302066772655,0.7915194346289753,0.8187702265372168,0.8892674616695059,0.8483333333333334,0.8474647974020882,0.8474647974020882
support,300.0,300.0,300.0,300.0,0.8483333333333334,1200.0,1200.0
