,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,0.9731925264012997,0.8157467532467533,0.8425841674249318,0.9539579967689822,0.8979166666666667,0.8963703609604918,0.8963703609604916
recall,0.9983333333333333,0.8375,0.7716666666666666,0.9841666666666666,0.8979166666666667,0.8979166666666667,0.8979166666666667
f1-score,0.9856026326614561,0.8264802631578948,0.8055676381035233,0.9688269073010665,0.8979166666666667,0.8966193603059851,0.8966193603059852
support,1200.0,1200.0,1200.0,1200.0,0.8979166666666667,4800.0,4800.0
