,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,0.9367088607594937,0.8865248226950354,0.8888888888888888,0.9299363057324841,0.9116666666666666,0.9105147195189756,0.9105147195189756
recall,0.9866666666666667,0.8333333333333334,0.8533333333333334,0.9733333333333334,0.9116666666666666,0.9116666666666666,0.9116666666666666
f1-score,0.961038961038961,0.859106529209622,0.8707482993197277,0.9511400651465798,0.9116666666666666,0.9105084636787227,0.9105084636787226
support,150.0,150.0,150.0,150.0,0.9116666666666666,600.0,600.0
