,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,0.9983361064891847,0.7954911433172303,0.8160714285714286,0.9692556634304207,0.8958333333333334,0.8947885854520661,0.8947885854520661
recall,1.0,0.8233333333333334,0.7616666666666667,0.9983333333333333,0.8958333333333334,0.8958333333333333,0.8958333333333334
f1-score,0.9991673605328892,0.8091728091728092,0.7879310344827587,0.9835796387520526,0.8958333333333334,0.8949627107351275,0.8949627107351273
support,600.0,600.0,600.0,600.0,0.8958333333333334,2400.0,2400.0
