,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,0.9615384615384616,0.86,0.660377358490566,0.9848484848484849,0.8433333333333334,0.8666910762193781,0.866691076219378
recall,1.0,0.5733333333333334,0.9333333333333333,0.8666666666666667,0.8433333333333334,0.8433333333333334,0.8433333333333334
f1-score,0.9803921568627451,0.6880000000000001,0.7734806629834254,0.9219858156028369,0.8433333333333334,0.8409646588622519,0.8409646588622519
support,150.0,150.0,150.0,150.0,0.8433333333333334,600.0,600.0
