,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,1.0,0.9932885906040269,0.9866666666666667,0.9933774834437086,0.9933333333333333,0.9933331851786005,0.9933331851786005
recall,1.0,0.9866666666666667,0.9866666666666667,1.0,0.9933333333333333,0.9933333333333334,0.9933333333333333
f1-score,1.0,0.9899665551839465,0.9866666666666668,0.9966777408637874,0.9933333333333333,0.9933277406786001,0.9933277406786002
support,150.0,150.0,150.0,150.0,0.9933333333333333,600.0,600.0
