,modelName,modelID,inputSize,optimizer,lrType,transferLearning,featureExtraction,fineTuning,augmentation,valAccuracy,valPrecision,valF1Score,testAccuracy,testPrecision,testF1Score,normal_recall_val,ulcerative_colitis_recall_val,polyps_recall_val,esophagitis_recall_val,normal_recall_test,ulcerative_colitis_recall_test,polyps_recall_test,esophagitis_recall_test
44,11_TransferLearningFeatureExtraction_MobileNetV2_CLAHE,11,224,SGD,DYNAMIC,True,True,False,True,0.92,0.91965672,0.919406972,0.989166667,0.989460236,0.989121231,0.993333333,0.86,0.86,0.966666667,1.0,1.0,0.956666667,1.0
45,01_BaseModel1_NORMAL,1,100,SGD,DYNAMIC,False,False,False,False,0.89,0.890154677,0.889756082,0.900833333,0.900756522,0.900156441,1.0,0.806666667,0.753333333,1.0,1.0,0.843333333,0.76,1.0
46,06_TransferLearningFeatureExtraction_MobileNetV2_NORMAL,6,224,SGD,DYNAMIC,True,True,False,False,0.92,0.920138915,0.920043058,0.874166667,0.872330394,0.873128955,0.98,0.86,0.88,0.96,0.986666667,0.773333333,0.76,0.976666667
47,07_TransferLearningFineTuning_ResNet50V1_NORMAL,7,224,SGD,DYNAMIC,True,False,True,False,0.921666667,0.921209224,0.921131111,0.984166667,0.984407462,0.98416461,1.0,0.826666667,0.86,1.0,1.0,0.956666667,0.99,0.99
48,11_TransferLearningFineTuning_ResNet50V2_RAYLEIGH,11,224,SGD,DYNAMIC,True,False,True,True,0.831666667,0.831589622,0.828872202,0.990833333,0.990856784,0.990819158,0.92,0.68,0.8,0.926666667,1.0,0.986666667,0.976666667,1.0
49,08_TransferLearningFineTuning_ResNet50V2_MULTISCALE,8,224,SGD,DYNAMIC,True,False,True,False,0.981666667,0.981688149,0.981672037,0.923333333,0.923246415,0.922924543,1.0,0.966666667,0.966666667,0.993333333,0.986666667,0.89,0.85,0.966666667
50,08_TransferLearningFineTuning_ResNet50V2_RAYLEIGH,8,224,SGD,DYNAMIC,True,False,True,False,0.986666667,0.986857532,0.986607439,0.904166667,0.902696324,0.903153533,1.0,0.993333333,0.953333333,1.0,1.0,0.83,0.79,0.996666667
51,05_TransferLearningFeatureExtraction_MobileNetV1_NORMAL,5,224,SGD,DYNAMIC,True,True,False,False,0.893333333,0.892221612,0.89204118,0.918333333,0.917856597,0.917848677,0.986666667,0.82,0.82,0.946666667,1.0,0.83,0.853333333,0.99
52,06_TransferLearningFeatureExtraction_MobileNetV2_RAYLEIGH,6,224,SGD,DYNAMIC,True,True,False,False,0.886666667,0.886282369,0.88605045,0.9825,0.983026251,0.982371153,0.966666667,0.853333333,0.8,0.926666667,1.0,0.996666667,0.933333333,1.0
53,05_TransferLearningFeatureExtraction_MobileNetV1_CLAHE,5,224,SGD,DYNAMIC,True,True,False,False,0.868333333,0.868864406,0.868425894,0.825,0.822843252,0.822126427,0.933333333,0.773333333,0.833333333,0.933333333,0.95,0.726666667,0.723333333,0.9
54,02_BaseModel2_NORMAL,2,224,SGD,DYNAMIC,False,False,False,False,0.911666667,0.912423046,0.911426045,0.9025,0.903268865,0.902794661,1.0,0.786666667,0.86,1.0,0.943333333,0.866666667,0.863333333,0.936666667
55,11_TransferLearningFineTuning_MobileNetV2_NORMAL,11,224,SGD,DYNAMIC,True,False,True,True,0.923333333,0.923130146,0.922165699,0.928333333,0.928108286,0.927345687,1.0,0.82,0.893333333,0.98,1.0,0.896666667,0.816666667,1.0
