,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,1.0,0.8453038674033149,0.895774647887324,0.945583596214511,0.9216666666666666,0.9216655278762875,0.9216655278762874
recall,1.0,0.8925,0.795,0.9991666666666666,0.9216666666666666,0.9216666666666666,0.9216666666666666
f1-score,1.0,0.8682610458046209,0.842384105960265,0.9716369529983793,0.9216666666666666,0.9205705261908164,0.9205705261908164
support,1200.0,1200.0,1200.0,1200.0,0.9216666666666666,4800.0,4800.0
