,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,1.0,0.8843478260869565,0.8554817275747508,0.9614767255216693,0.9260416666666667,0.9253265697958442,0.9253265697958443
recall,1.0,0.8475,0.8583333333333333,0.9983333333333333,0.9260416666666667,0.9260416666666667,0.9260416666666667
f1-score,1.0,0.865531914893617,0.8569051580698834,0.9795584627964022,0.9260416666666667,0.9254988839399756,0.9254988839399757
support,1200.0,1200.0,1200.0,1200.0,0.9260416666666667,4800.0,4800.0
