,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg,modelName,modelTag
precision,1,0.993288591,0.986666667,0.993377483,0.993333333,0.993333185,0.993333185,14_TransferLearningFineTuning_MobileNetV1_NORMAL,14
recall,1,0.986666667,0.986666667,1,0.993333333,0.993333333,0.993333333,14_TransferLearningFineTuning_MobileNetV1_NORMAL,14
f1-score,1,0.989966555,0.986666667,0.996677741,0.993333333,0.993327741,0.993327741,14_TransferLearningFineTuning_MobileNetV1_NORMAL,14
support,150,150,150,150,0.993333333,600,600,14_TransferLearningFineTuning_MobileNetV1_NORMAL,14
