,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,0.9140127388535032,0.9077490774907749,0.8215384615384616,0.9586206896551724,0.8983333333333333,0.9004802418844781,0.9004802418844782
recall,0.9566666666666667,0.82,0.89,0.9266666666666666,0.8983333333333333,0.8983333333333333,0.8983333333333333
f1-score,0.9348534201954397,0.861646234676007,0.8543999999999999,0.9423728813559322,0.8983333333333333,0.8983181340568447,0.8983181340568448
support,300.0,300.0,300.0,300.0,0.8983333333333333,1200.0,1200.0
