,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,0.9066666666666666,0.8676470588235294,0.7924528301886793,0.9290322580645162,0.8733333333333333,0.873949703435848,0.873949703435848
recall,0.9066666666666666,0.7866666666666666,0.84,0.96,0.8733333333333333,0.8733333333333333,0.8733333333333333
f1-score,0.9066666666666666,0.8251748251748251,0.8155339805825242,0.9442622950819672,0.8733333333333333,0.8729094418764958,0.8729094418764959
support,150.0,150.0,150.0,150.0,0.8733333333333333,600.0,600.0
