,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,0.9497161394971614,0.8610662358642972,0.8964912280701754,0.95878889823381,0.9164583333333334,0.9165156254163609,0.9165156254163611
recall,0.9758333333333333,0.8883333333333333,0.8516666666666667,0.95,0.9164583333333334,0.9164583333333334,0.9164583333333334
f1-score,0.9625976161117961,0.874487284659557,0.8735042735042735,0.9543742151527835,0.9164583333333334,0.9162408473571025,0.9162408473571023
support,1200.0,1200.0,1200.0,1200.0,0.9164583333333334,4800.0,4800.0
