,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,0.9533011272141707,0.8680555555555556,0.8236245954692557,0.9709401709401709,0.90375,0.9039803622947883,0.9039803622947883
recall,0.9866666666666667,0.8333333333333334,0.8483333333333334,0.9466666666666667,0.90375,0.90375,0.90375
f1-score,0.9696969696969697,0.8503401360544218,0.8357963875205255,0.9586497890295359,0.90375,0.9036208205753632,0.9036208205753633
support,600.0,600.0,600.0,600.0,0.90375,2400.0,2400.0
