,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,0.8809034907597536,0.5810126582278481,0.7456140350877193,0.8444846292947559,0.7416666666666667,0.7630037033425192,0.7630037033425193
recall,0.715,0.765,0.7083333333333334,0.7783333333333333,0.7416666666666667,0.7416666666666667,0.7416666666666667
f1-score,0.7893284268629254,0.660431654676259,0.7264957264957265,0.8100607111882047,0.7416666666666667,0.7465791298057789,0.7465791298057788
support,600.0,600.0,600.0,600.0,0.7416666666666667,2400.0,2400.0
