,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,0.9867986798679867,0.9395973154362416,0.9425675675675675,0.976897689768977,0.9616666666666667,0.9614653131601931,0.9614653131601932
recall,0.9966666666666667,0.9333333333333333,0.93,0.9866666666666667,0.9616666666666667,0.9616666666666668,0.9616666666666667
f1-score,0.9917081260364843,0.9364548494983278,0.9362416107382551,0.9817578772802654,0.9616666666666667,0.9615406158883331,0.9615406158883332
support,300.0,300.0,300.0,300.0,0.9616666666666667,1200.0,1200.0
