,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,0.78125,0.6896551724137931,0.7727272727272727,0.9389312977099237,0.7916666666666666,0.7956409357127474,0.7956409357127473
recall,1.0,0.6666666666666666,0.68,0.82,0.7916666666666666,0.7916666666666666,0.7916666666666666
f1-score,0.8771929824561403,0.6779661016949153,0.7234042553191491,0.8754448398576513,0.7916666666666666,0.7885020448319641,0.7885020448319641
support,150.0,150.0,150.0,150.0,0.7916666666666666,600.0,600.0
