,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,1.0,0.9832775919732442,0.9830508474576272,0.9803921568627451,0.9866666666666667,0.9866801490734041,0.9866801490734042
recall,1.0,0.98,0.9666666666666667,1.0,0.9866666666666667,0.9866666666666667,0.9866666666666667
f1-score,1.0,0.9816360601001669,0.9747899159663865,0.99009900990099,0.9866666666666667,0.9866312464918859,0.9866312464918858
support,300.0,300.0,300.0,300.0,0.9866666666666667,1200.0,1200.0
