,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,0.9868421052631579,0.9558823529411765,0.89375,0.9736842105263158,0.9516666666666667,0.9525396671826626,0.9525396671826625
recall,1.0,0.8666666666666667,0.9533333333333334,0.9866666666666667,0.9516666666666667,0.9516666666666668,0.9516666666666667
f1-score,0.9933774834437086,0.9090909090909091,0.9225806451612903,0.9801324503311258,0.9516666666666667,0.9512953720067584,0.9512953720067585
support,150.0,150.0,150.0,150.0,0.9516666666666667,600.0,600.0
