,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,0.9924812030075187,0.6075268817204301,0.7116564417177914,1.0,0.7983333333333333,0.8279161316114351,0.8279161316114351
recall,0.88,0.7533333333333333,0.7733333333333333,0.7866666666666666,0.7983333333333333,0.7983333333333333,0.7983333333333333
f1-score,0.9328621908127207,0.6726190476190477,0.7412140575079872,0.8805970149253731,0.7983333333333333,0.8068230777162821,0.806823077716282
support,150.0,150.0,150.0,150.0,0.7983333333333333,600.0,600.0
