,0_normal,1_ulcerative_colitis,2_polyps,3_esophagitis,accuracy,macro avg,weighted avg
precision,0.9352226720647774,0.8585944115156647,0.8487394957983193,0.931323283082077,0.8939583333333333,0.8934699656152096,0.8934699656152095
recall,0.9625,0.845,0.8416666666666667,0.9266666666666666,0.8939583333333333,0.8939583333333334,0.8939583333333333
f1-score,0.9486652977412731,0.8517429651406971,0.8451882845188284,0.9289891395154553,0.8939583333333333,0.8936464217290635,0.8936464217290635
support,1200.0,1200.0,1200.0,1200.0,0.8939583333333333,4800.0,4800.0
